date,forex_reserves_usd_mn
2012-12-01,295638.0
2013-03-01,292045.6
2013-04-01,293892.1
2013-05-01,287897.3
2013-06-01,282452.8
2013-07-01,277571.6
2013-08-01,275491.6
2013-09-01,277233.7
2013-10-01,281542.9
2013-11-01,290676.7
2013-12-01,293876.8
2014-03-01,304223.2
2014-04-01,310986.3
2014-05-01,312207.0
2014-06-01,316138.0
2014-07-01,319808.0
2014-08-01,318399.7
2014-09-01,313841.2
2014-10-01,315910.1
2014-11-01,315558.4
2014-12-01,320648.8
2015-02-01,337733.2
2015-03-01,341638.4
2015-04-01,351868.8
2015-05-01,352478.9
2015-06-01,356001.0
2015-07-01,353460.5
2015-08-01,351437.6
2015-09-01,350288.6
2015-11-01,350247.2
2015-12-01,350381.4
2016-02-01,348418.1
2016-03-01,360176.2
2016-04-01,363049.0
2016-05-01,361605.0
2016-06-01,363506.1
2016-07-01,366503.9
2016-09-01,371990.3
2016-10-01,366211.6
2016-11-01,361121.0
2016-12-01,358898.0
2017-03-01,369954.7
2017-04-01,373301.9
2017-05-01,380100.4
2017-06-01,386539.4
2017-07-01,393655.2
2017-08-01,397822.1
2017-09-01,400205.3
2017-10-01,399224.8
2017-11-01,401942.0
2017-12-01,409072.2
2018-03-01,424544.8
2018-04-01,420517.0
2018-05-01,412373.0
2018-06-01,405740.3
2018-07-01,403674.8
2018-08-01,400101.9
2018-09-01,400525.1
2018-10-01,392084.9
2018-11-01,393718.0
2018-12-01,395591.1
2019-03-01,412870.87
2019-04-01,418793.1
2019-05-01,421867.8
2019-06-01,429837.1
2019-07-01,428820.24
2019-08-01,428349.29
2019-09-01,433707.15
2019-10-01,445113.03
2019-11-01,451258.56
2019-12-01,459863.19
2020-03-01,477806.78
2020-04-01,481077.57
2020-05-01,493559.53
2020-06-01,505701.5
2020-07-01,534567.86
2020-08-01,542880.84
2020-09-01,544687.33
2020-10-01,560190.51
2020-11-01,574820.84
2020-12-01,585770.63
2021-03-01,576983.89
2021-04-01,588020.4
2021-05-01,598877.06
2021-06-01,611074.97
2021-07-01,620061.63
2021-08-01,640703.2
2021-09-01,635362.77
2021-10-01,640393.95
2021-11-01,637996.74
2021-12-01,633614.31
2022-03-01,607309.13
2022-04-01,596673.03
2022-05-01,603203.08
2022-06-01,589154.57
2022-07-01,574251.62
2022-08-01,560377.59
2022-09-01,532663.72
2022-10-01,534022.04
2022-11-01,553169.65
2022-12-01,562720.56
2023-03-01,578449.15
2023-04-01,590097.26
2023-05-01,590716.5
2023-06-01,595051.38
2023-07-01,605810.44
2023-08-01,598241.01
2023-09-01,587713.8
2023-10-01,588461.42
2023-11-01,604171.69
2023-12-01,622452.29
2024-03-01,646418.85
2024-04-01,640200.68
2024-05-01,651509.98
2024-06-01,651997.26
2024-07-01,670615.08
2024-08-01,682230.75
2024-09-01,705782.26
2024-10-01,682129.96
2024-11-01,659432.86
2024-12-01,635701.43
2025-01-01,630607.39
2025-02-01,638698.41
2025-03-01,668326.22
2025-04-01,688428.34
2025-05-01,691308.97
2025-06-01,698117.77
